,Statistics as of,30/12/2016,29/12/2017,28/12/2018,30/12/2019,12/05/2020,Symbol,Name,Stock Sector,Industry Name,Market Cap (m),Dividend Yield (%),Last (Close),Unnamed: 7
3081,Paid-up Capital,300.00,300.00,300.00,300.00,,EKH,Ekachai Medical Care PCL,Healthcare,Medical Care Facilities,4080.0,2.43,6.8,THB
3082,Revenue,511.98,540.98,654.29,911.00,,EKH,Ekachai Medical Care PCL,Healthcare,Medical Care Facilities,4080.0,2.43,6.8,THB
3083,Net Profit,75.27,83.83,117.21,160.30,,EKH,Ekachai Medical Care PCL,Healthcare,Medical Care Facilities,4080.0,2.43,6.8,THB
3084,EPS (Baht),0.15,0.14,0.19,0.27,,EKH,Ekachai Medical Care PCL,Healthcare,Medical Care Facilities,4080.0,2.43,6.8,THB
3085,ROA(%),15.72,11.48,15.38,20.04,,EKH,Ekachai Medical Care PCL,Healthcare,Medical Care Facilities,4080.0,2.43,6.8,THB
3086,ROE(%),14.80,10.49,14.07,18.15,,EKH,Ekachai Medical Care PCL,Healthcare,Medical Care Facilities,4080.0,2.43,6.8,THB
3087,Net Profit Margin(%),14.70,15.50,17.91,17.60,,EKH,Ekachai Medical Care PCL,Healthcare,Medical Care Facilities,4080.0,2.43,6.8,THB
3088,Statistics as of,30/12/2016,29/12/2017,28/12/2018,30/12/2019,12/05/2020,EKH,Ekachai Medical Care PCL,Healthcare,Medical Care Facilities,4080.0,2.43,6.8,THB
3089,Last Price(Baht),7.00,5.30,5.40,6.70,4.62,EKH,Ekachai Medical Care PCL,Healthcare,Medical Care Facilities,4080.0,2.43,6.8,THB
3090,Market Cap.,4200.00,3180.00,3240.00,4020.00,2772.00,EKH,Ekachai Medical Care PCL,Healthcare,Medical Care Facilities,4080.0,2.43,6.8,THB
3091,F/S Period (As of date),30/09/2016,30/09/2017,30/09/2018,30/09/2019,31/12/2019,EKH,Ekachai Medical Care PCL,Healthcare,Medical Care Facilities,4080.0,2.43,6.8,THB
3092,P/E,57.18,40.30,29.03,25.37,17.29,EKH,Ekachai Medical Care PCL,Healthcare,Medical Care Facilities,4080.0,2.43,6.8,THB
3093,P/BV,5.47,4.02,3.91,4.54,3.04,EKH,Ekachai Medical Care PCL,Healthcare,Medical Care Facilities,4080.0,2.43,6.8,THB
3094,Book Value per share (Baht),1.28,1.32,1.38,1.48,1.52,EKH,Ekachai Medical Care PCL,Healthcare,Medical Care Facilities,4080.0,2.43,6.8,THB
3095,Dvd. Yield(%),,1.89,2.22,2.46,4.55,EKH,Ekachai Medical Care PCL,Healthcare,Medical Care Facilities,4080.0,2.43,6.8,THB
3096,Assets,2106.12,2011.90,1616.25,1715.09,,AKR,Ekarat Engineering PCL,Technology,Solar,805.974,-,0.6,THB
3097,Liabilities,915.26,810.95,735.24,740.05,,AKR,Ekarat Engineering PCL,Technology,Solar,805.974,-,0.6,THB
3098,Equity,1190.85,1200.95,881.01,973.85,,AKR,Ekarat Engineering PCL,Technology,Solar,805.974,-,0.6,THB
3099,Paid-up Capital,1074.63,1074.63,1074.63,1074.63,,AKR,Ekarat Engineering PCL,Technology,Solar,805.974,-,0.6,THB
3100,Revenue,1698.49,1732.27,1492.21,1688.25,,AKR,Ekarat Engineering PCL,Technology,Solar,805.974,-,0.6,THB
3101,Net Profit,-62.18,44.30,-279.65,82.55,,AKR,Ekarat Engineering PCL,Technology,Solar,805.974,-,0.6,THB
3102,EPS (Baht),-0.05,0.03,-0.21,0.06,,AKR,Ekarat Engineering PCL,Technology,Solar,805.974,-,0.6,THB
3103,ROA(%),-2.04,4.20,-17.95,6.44,,AKR,Ekarat Engineering PCL,Technology,Solar,805.974,-,0.6,THB
3104,ROE(%),-4.94,3.70,-26.86,8.90,,AKR,Ekarat Engineering PCL,Technology,Solar,805.974,-,0.6,THB
3105,Net Profit Margin(%),-3.66,2.56,-18.74,4.89,,AKR,Ekarat Engineering PCL,Technology,Solar,805.974,-,0.6,THB
3106,Statistics as of,30/12/2016,29/12/2017,28/12/2018,30/12/2019,12/05/2020,AKR,Ekarat Engineering PCL,Technology,Solar,805.974,-,0.6,THB
3107,Last Price(Baht),1.18,1.06,0.79,0.60,0.53,AKR,Ekarat Engineering PCL,Technology,Solar,805.974,-,0.6,THB
3108,Market Cap.,1585.08,1423.89,1061.20,805.97,711.94,AKR,Ekarat Engineering PCL,Technology,Solar,805.974,-,0.6,THB
3109,F/S Period (As of date),30/09/2016,30/09/2017,30/09/2018,30/09/2019,31/12/2019,AKR,Ekarat Engineering PCL,Technology,Solar,805.974,-,0.6,THB
3110,P/E,33.59,,126.40,,8.62,AKR,Ekarat Engineering PCL,Technology,Solar,805.974,-,0.6,THB
3111,P/BV,1.28,1.20,0.92,0.86,0.73,AKR,Ekarat Engineering PCL,Technology,Solar,805.974,-,0.6,THB
3112,Book Value per share (Baht),0.92,0.88,0.86,0.70,0.72,AKR,Ekarat Engineering PCL,Technology,Solar,805.974,-,0.6,THB
3113,Dvd. Yield(%),4.24,2.36,3.80,,,AKR,Ekarat Engineering PCL,Technology,Solar,805.974,-,0.6,THB
3114,Assets,197254.50,200332.54,206427.81,208522.60,,EGCO,Electricity Generating PCL,Utilities,Utilities - Independent Power Producers,173733.45,2.05,330,THB
3115,Liabilities,114656.83,113476.07,105577.46,103416.20,,EGCO,Electricity Generating PCL,Utilities,Utilities - Independent Power Producers,173733.45,2.05,330,THB
3116,Equity,81972.78,86238.33,100239.38,104490.41,,EGCO,Electricity Generating PCL,Utilities,Utilities - Independent Power Producers,173733.45,2.05,330,THB
3117,Paid-up Capital,5264.65,5264.65,5264.65,5264.65,,EGCO,Electricity Generating PCL,Utilities,Utilities - Independent Power Producers,173733.45,2.05,330,THB
3118,Revenue,30921.90,38058.71,58235.16,47460.00,,EGCO,Electricity Generating PCL,Utilities,Utilities - Independent Power Producers,173733.45,2.05,330,THB
3119,Net Profit,8320.80,11818.28,21072.88,13059.24,,EGCO,Electricity Generating PCL,Utilities,Utilities - Independent Power Producers,173733.45,2.05,330,THB
3120,EPS (Baht),15.81,22.45,40.03,24.81,,EGCO,Electricity Generating PCL,Utilities,Utilities - Independent Power Producers,173733.45,2.05,330,THB
3121,ROA(%),6.91,6.15,12.82,7.34,,EGCO,Electricity Generating PCL,Utilities,Utilities - Independent Power Producers,173733.45,2.05,330,THB
3122,ROE(%),10.45,14.05,22.60,12.76,,EGCO,Electricity Generating PCL,Utilities,Utilities - Independent Power Producers,173733.45,2.05,330,THB
3123,Net Profit Margin(%),26.91,31.05,36.19,27.52,,EGCO,Electricity Generating PCL,Utilities,Utilities - Independent Power Producers,173733.45,2.05,330,THB
3124,Statistics as of,30/12/2016,29/12/2017,28/12/2018,30/12/2019,12/05/2020,EGCO,Electricity Generating PCL,Utilities,Utilities - Independent Power Producers,173733.45,2.05,330,THB
3125,Last Price(Baht),199.00,216.00,248.00,328.00,271.00,EGCO,Electricity Generating PCL,Utilities,Utilities - Independent Power Producers,173733.45,2.05,330,THB
3126,Market Cap.,104766.54,113716.44,130563.32,172680.52,142672.02,EGCO,Electricity Generating PCL,Utilities,Utilities - Independent Power Producers,173733.45,2.05,330,THB
3127,F/S Period (As of date),30/09/2016,30/09/2017,30/09/2018,30/09/2019,31/12/2019,EGCO,Electricity Generating PCL,Utilities,Utilities - Independent Power Producers,173733.45,2.05,330,THB
3128,P/E,11.61,10.48,5.54,17.55,10.92,EGCO,Electricity Generating PCL,Utilities,Utilities - Independent Power Producers,173733.45,2.05,330,THB
3129,P/BV,1.31,1.32,1.29,1.68,1.37,EGCO,Electricity Generating PCL,Utilities,Utilities - Independent Power Producers,173733.45,2.05,330,THB
3130,Book Value per share (Baht),151.87,163.18,191.52,195.60,198.48,EGCO,Electricity Generating PCL,Utilities,Utilities - Independent Power Producers,173733.45,2.05,330,THB
3131,Dvd. Yield(%),3.14,3.01,2.82,2.90,2.40,EGCO,Electricity Generating PCL,Utilities,Utilities - Independent Power Producers,173733.45,2.05,330,THB
3132,Assets,387.22,812.85,776.00,1255.98,,EIC,Electronics Industry PCL,Technology,Semiconductor Equipment & Materials,375.652,-,0.04,THB
3133,Liabilities,74.38,260.79,218.70,292.38,,EIC,Electronics Industry PCL,Technology,Semiconductor Equipment & Materials,375.652,-,0.04,THB
3134,Equity,312.84,552.06,557.29,788.16,,EIC,Electronics Industry PCL,Technology,Semiconductor Equipment & Materials,375.652,-,0.04,THB
3135,Paid-up Capital,700.46,3169.88,3169.90,9391.31,,EIC,Electronics Industry PCL,Technology,Semiconductor Equipment & Materials,375.652,-,0.04,THB
3136,Revenue,216.31,241.76,319.16,615.74,,EIC,Electronics Industry PCL,Technology,Semiconductor Equipment & Materials,375.652,-,0.04,THB
3137,Net Profit,-134.64,-131.52,5.23,-21.88,,EIC,Electronics Industry PCL,Technology,Semiconductor Equipment & Materials,375.652,-,0.04,THB
3138,EPS (Baht),-0.20,-0.10,-,-,,EIC,Electronics Industry PCL,Technology,Semiconductor Equipment & Materials,375.652,-,0.04,THB
3139,ROA(%),-29.34,-23.21,2.69,-2.18,,EIC,Electronics Industry PCL,Technology,Semiconductor Equipment & Materials,375.652,-,0.04,THB
3140,ROE(%),-37.02,-30.41,0.94,-3.25,,EIC,Electronics Industry PCL,Technology,Semiconductor Equipment & Materials,375.652,-,0.04,THB
3141,Net Profit Margin(%),-62.24,-54.40,1.64,-3.55,,EIC,Electronics Industry PCL,Technology,Semiconductor Equipment & Materials,375.652,-,0.04,THB
3142,Statistics as of,30/12/2016,29/12/2017,28/12/2018,30/12/2019,12/05/2020,EIC,Electronics Industry PCL,Technology,Semiconductor Equipment & Materials,375.652,-,0.04,THB
3143,Last Price(Baht),0.78,0.07,0.04,0.04,0.11,EIC,Electronics Industry PCL,Technology,Semiconductor Equipment & Materials,375.652,-,0.04,THB
3144,Market Cap.,546.36,221.89,126.80,375.65,1033.04,EIC,Electronics Industry PCL,Technology,Semiconductor Equipment & Materials,375.652,-,0.04,THB
3145,F/S Period (As of date),30/09/2016,30/09/2017,30/09/2018,30/06/2019,31/12/2019,EIC,Electronics Industry PCL,Technology,Semiconductor Equipment & Materials,375.652,-,0.04,THB
3146,P/E,,,,2.94*,,EIC,Electronics Industry PCL,Technology,Semiconductor Equipment & Materials,375.652,-,0.04,THB
3147,P/BV,1.56,0.32,0.23,0.45,1.31,EIC,Electronics Industry PCL,Technology,Semiconductor Equipment & Materials,375.652,-,0.04,THB
3148,Book Value per share (Baht),0.50,0.22,0.18,0.09,0.08,EIC,Electronics Industry PCL,Technology,Semiconductor Equipment & Materials,375.652,-,0.04,THB
3149,Dvd. Yield(%),,,,,,EIC,Electronics Industry PCL,Technology,Semiconductor Equipment & Materials,375.652,-,0.04,THB
3150,Assets,3096.61,2915.62,3578.01,3111.08,,EMC,Emc PCL,Industrials,Engineering & Construction,1012.051,-,0.12,THB
3151,Liabilities,918.61,1412.97,1706.99,1235.56,,EMC,Emc PCL,Industrials,Engineering & Construction,1012.051,-,0.12,THB
3152,Equity,2303.48,1629.42,1999.39,2005.26,,EMC,Emc PCL,Industrials,Engineering & Construction,1012.051,-,0.12,THB
3153,Paid-up Capital,8433.73,8433.75,8433.75,8433.75,,EMC,Emc PCL,Industrials,Engineering & Construction,1012.051,-,0.12,THB
3154,Revenue,691.17,710.41,2424.11,1306.65,,EMC,Emc PCL,Industrials,Engineering & Construction,1012.051,-,0.12,THB
3155,Net Profit,-271.73,-673.76,369.97,3.82,,EMC,Emc PCL,Industrials,Engineering & Construction,1012.051,-,0.12,THB
3156,EPS (Baht),-0.03,-0.08,0.04,-,,EMC,Emc PCL,Industrials,Engineering & Construction,1012.051,-,0.12,THB
3157,ROA(%),-7.95,-22.11,11.93,0.31,,EMC,Emc PCL,Industrials,Engineering & Construction,1012.051,-,0.12,THB
3158,ROE(%),-11.25,-34.26,20.39,0.19,,EMC,Emc PCL,Industrials,Engineering & Construction,1012.051,-,0.12,THB
3159,Net Profit Margin(%),-39.31,-94.84,15.26,0.29,,EMC,Emc PCL,Industrials,Engineering & Construction,1012.051,-,0.12,THB
3160,Statistics as of,30/12/2016,29/12/2017,28/12/2018,30/12/2019,12/05/2020,EMC,Emc PCL,Industrials,Engineering & Construction,1012.051,-,0.12,THB
3161,Last Price(Baht),0.13,0.09,0.29,0.13,0.11,EMC,Emc PCL,Industrials,Engineering & Construction,1012.051,-,0.12,THB
3162,Market Cap.,1096.39,759.04,2445.79,1096.39,927.71,EMC,Emc PCL,Industrials,Engineering & Construction,1012.051,-,0.12,THB
3163,F/S Period (As of date),30/09/2016,30/09/2017,30/09/2018,30/09/2019,31/12/2019,EMC,Emc PCL,Industrials,Engineering & Construction,1012.051,-,0.12,THB
3164,P/E,,,39.20,3.45,242.93,EMC,Emc PCL,Industrials,Engineering & Construction,1012.051,-,0.12,THB
3165,P/BV,0.45,0.46,1.44,0.54,0.46,EMC,Emc PCL,Industrials,Engineering & Construction,1012.051,-,0.12,THB
3166,Book Value per share (Baht),0.29,0.19,0.20,0.24,0.24,EMC,Emc PCL,Industrials,Engineering & Construction,1012.051,-,0.12,THB
3167,Dvd. Yield(%),,,,,,EMC,Emc PCL,Industrials,Engineering & Construction,1012.051,-,0.12,THB
3168,Assets,41507.39,44530.42,59207.59,70219.69,,EA,Energy Absolute PCL,Utilities,Utilities - Renewable,163187.5,0.57,43.75,THB
3169,Liabilities,30117.94,29786.80,39689.97,45353.23,,EA,Energy Absolute PCL,Utilities,Utilities - Renewable,163187.5,0.57,43.75,THB
3170,Equity,11383.45,14667.60,18138.66,23364.51,,EA,Energy Absolute PCL,Utilities,Utilities - Renewable,163187.5,0.57,43.75,THB
3171,Paid-up Capital,373.00,373.00,373.00,373.00,,EA,Energy Absolute PCL,Utilities,Utilities - Renewable,163187.5,0.57,43.75,THB
3172,Revenue,10439.25,11734.36,12656.30,14954.54,,EA,Energy Absolute PCL,Utilities,Utilities - Renewable,163187.5,0.57,43.75,THB
3173,Net Profit,3251.51,3817.45,4975.21,6081.62,,EA,Energy Absolute PCL,Utilities,Utilities - Renewable,163187.5,0.57,43.75,THB
3174,EPS (Baht),0.87,1.02,1.33,1.63,,EA,Energy Absolute PCL,Utilities,Utilities - Renewable,163187.5,0.57,43.75,THB
3175,ROA(%),11.38,11.53,11.91,11.44,,EA,Energy Absolute PCL,Utilities,Utilities - Renewable,163187.5,0.57,43.75,THB
3176,ROE(%),32.70,29.31,30.33,29.31,,EA,Energy Absolute PCL,Utilities,Utilities - Renewable,163187.5,0.57,43.75,THB
3177,Net Profit Margin(%),31.15,32.53,39.31,40.67,,EA,Energy Absolute PCL,Utilities,Utilities - Renewable,163187.5,0.57,43.75,THB
3178,Statistics as of,30/12/2016,29/12/2017,28/12/2018,30/12/2019,12/05/2020,EA,Energy Absolute PCL,Utilities,Utilities - Renewable,163187.5,0.57,43.75,THB
3179,Last Price(Baht),29.75,52.50,42.50,43.75,39.50,EA,Energy Absolute PCL,Utilities,Utilities - Renewable,163187.5,0.57,43.75,THB
3180,Market Cap.,110967.50,195825.00,158525.00,163187.50,147335.00,EA,Energy Absolute PCL,Utilities,Utilities - Renewable,163187.5,0.57,43.75,THB
3181,F/S Period (As of date),30/09/2016,30/09/2017,30/09/2018,30/09/2019,31/12/2019,EA,Energy Absolute PCL,Utilities,Utilities - Renewable,163187.5,0.57,43.75,THB
3182,P/E,36.12,52.19,31.07,31.99,24.23,EA,Energy Absolute PCL,Utilities,Utilities - Renewable,163187.5,0.57,43.75,THB
3183,P/BV,10.52,14.22,9.01,7.63,6.31,EA,Energy Absolute PCL,Utilities,Utilities - Renewable,163187.5,0.57,43.75,THB
3184,Book Value per share (Baht),2.83,3.69,4.72,5.74,6.26,EA,Energy Absolute PCL,Utilities,Utilities - Renewable,163187.5,0.57,43.75,THB
3185,Dvd. Yield(%),0.34,0.29,0.47,0.57,0.76,EA,Energy Absolute PCL,Utilities,Utilities - Renewable,163187.5,0.57,43.75,THB
3186,Assets,58751.26,59019.51,61749.98,66242.63,,ESSO,Esso Thailand PCL,Energy,Oil & Gas Refining & Marketing,29763.379,1.16,8.6,THB
3187,Liabilities,37998.89,30837.30,35917.88,44124.70,,ESSO,Esso Thailand PCL,Energy,Oil & Gas Refining & Marketing,29763.379,1.16,8.6,THB
3188,Equity,20744.94,28174.78,25824.66,22110.50,,ESSO,Esso Thailand PCL,Energy,Oil & Gas Refining & Marketing,29763.379,1.16,8.6,THB
3189,Paid-up Capital,17075.18,17075.18,17075.18,17075.18,,ESSO,Esso Thailand PCL,Energy,Oil & Gas Refining & Marketing,29763.379,1.16,8.6,THB
3190,Revenue,151482.17,179209.51,201247.67,169810.06,,ESSO,Esso Thailand PCL,Energy,Oil & Gas Refining & Marketing,29763.379,1.16,8.6,THB
3191,Net Profit,6648.75,7287.62,2225.16,-3065.70,,ESSO,Esso Thailand PCL,Energy,Oil & Gas Refining & Marketing,29763.379,1.16,8.6,THB
3192,EPS (Baht),1.92,2.11,0.64,-0.89,,ESSO,Esso Thailand PCL,Energy,Oil & Gas Refining & Marketing,29763.379,1.16,8.6,THB
3193,ROA(%),15.08,15.89,4.79,-5.69,,ESSO,Esso Thailand PCL,Energy,Oil & Gas Refining & Marketing,29763.379,1.16,8.6,THB
3194,ROE(%),38.54,29.79,8.24,-12.79,,ESSO,Esso Thailand PCL,Energy,Oil & Gas Refining & Marketing,29763.379,1.16,8.6,THB
3195,Net Profit Margin(%),4.39,4.07,1.11,-1.81,,ESSO,Esso Thailand PCL,Energy,Oil & Gas Refining & Marketing,29763.379,1.16,8.6,THB
3196,Statistics as of,30/12/2016,29/12/2017,28/12/2018,30/12/2019,12/05/2020,ESSO,Esso Thailand PCL,Energy,Oil & Gas Refining & Marketing,29763.379,1.16,8.6,THB
3197,Last Price(Baht),12.80,17.60,10.20,8.65,5.65,ESSO,Esso Thailand PCL,Energy,Oil & Gas Refining & Marketing,29763.379,1.16,8.6,THB
3198,Market Cap.,44298.98,60911.10,35300.75,29936.42,19553.85,ESSO,Esso Thailand PCL,Energy,Oil & Gas Refining & Marketing,29763.379,1.16,8.6,THB
3199,F/S Period (As of date),30/09/2016,30/09/2017,30/09/2018,30/09/2019,31/12/2019,ESSO,Esso Thailand PCL,Energy,Oil & Gas Refining & Marketing,29763.379,1.16,8.6,THB
3200,P/E,9.50,9.00,4.48,,,ESSO,Esso Thailand PCL,Energy,Oil & Gas Refining & Marketing,29763.379,1.16,8.6,THB
3201,P/BV,2.43,2.39,1.24,1.23,0.88,ESSO,Esso Thailand PCL,Energy,Oil & Gas Refining & Marketing,29763.379,1.16,8.6,THB
3202,Book Value per share (Baht),5.27,7.37,8.23,7.02,6.39,ESSO,Esso Thailand PCL,Energy,Oil & Gas Refining & Marketing,29763.379,1.16,8.6,THB
3203,Dvd. Yield(%),,,9.80,3.47,,ESSO,Esso Thailand PCL,Energy,Oil & Gas Refining & Marketing,29763.379,1.16,8.6,THB
3204,Assets,1308.76,1390.10,1525.75,1646.15,,EE,Eternal Energy PCL,Consumer Defensive,Farm Products,1695.8,-,0.61,THB
3205,Liabilities,3.90,31.16,110.46,136.61,,EE,Eternal Energy PCL,Consumer Defensive,Farm Products,1695.8,-,0.61,THB
3206,Equity,1304.86,1358.94,1415.28,1509.54,,EE,Eternal Energy PCL,Consumer Defensive,Farm Products,1695.8,-,0.61,THB
3207,Paid-up Capital,2780.00,2780.00,2780.00,2780.00,,EE,Eternal Energy PCL,Consumer Defensive,Farm Products,1695.8,-,0.61,THB
3208,Revenue,3.87,102.39,111.88,148.96,,EE,Eternal Energy PCL,Consumer Defensive,Farm Products,1695.8,-,0.61,THB
3209,Net Profit,-146.37,46.08,56.35,93.96,,EE,Eternal Energy PCL,Consumer Defensive,Farm Products,1695.8,-,0.61,THB
3210,EPS (Baht),-0.05,0.02,0.02,0.03,,EE,Eternal Energy PCL,Consumer Defensive,Farm Products,1695.8,-,0.61,THB
3211,ROA(%),-10.59,3.43,4.02,5.94,,EE,Eternal Energy PCL,Consumer Defensive,Farm Products,1695.8,-,0.61,THB
3212,ROE(%),-10.62,3.46,4.06,6.42,,EE,Eternal Energy PCL,Consumer Defensive,Farm Products,1695.8,-,0.61,THB
3213,Net Profit Margin(%),-3786.40,45.01,50.36,63.07,,EE,Eternal Energy PCL,Consumer Defensive,Farm Products,1695.8,-,0.61,THB
3214,Statistics as of,30/12/2016,29/12/2017,28/12/2018,30/12/2019,12/05/2020,EE,Eternal Energy PCL,Consumer Defensive,Farm Products,1695.8,-,0.61,THB
3215,Last Price(Baht),1.10,0.88,0.62,0.58,0.50,EE,Eternal Energy PCL,Consumer Defensive,Farm Products,1695.8,-,0.61,THB
3216,Market Cap.,3058.00,2446.40,1723.60,1612.40,1390.00,EE,Eternal Energy PCL,Consumer Defensive,Farm Products,1695.8,-,0.61,THB
3217,F/S Period (As of date),30/09/2016,30/09/2017,30/09/2018,30/09/2019,31/12/2019,EE,Eternal Energy PCL,Consumer Defensive,Farm Products,1695.8,-,0.61,THB
3218,P/E,,,24.96,18.20,14.79,EE,Eternal Energy PCL,Consumer Defensive,Farm Products,1695.8,-,0.61,THB
3219,P/BV,2.25,1.83,1.23,1.08,0.92,EE,Eternal Energy PCL,Consumer Defensive,Farm Products,1695.8,-,0.61,THB
3220,Book Value per share (Baht),0.49,0.48,0.50,0.54,0.54,EE,Eternal Energy PCL,Consumer Defensive,Farm Products,1695.8,-,0.61,THB
3221,Dvd. Yield(%),,,,,,EE,Eternal Energy PCL,Consumer Defensive,Farm Products,1695.8,-,0.61,THB
3222,Assets,302.84,357.11,475.96,337.74,,UREKA,Eureka Design PCL,Industrials,Specialty Industrial Machinery,699.094,-,1.1,THB
3223,Liabilities,137.71,146.21,248.89,109.51,,UREKA,Eureka Design PCL,Industrials,Specialty Industrial Machinery,699.094,-,1.1,THB
3224,Equity,162.37,209.31,226.23,217.43,,UREKA,Eureka Design PCL,Industrials,Specialty Industrial Machinery,699.094,-,1.1,THB
3225,Paid-up Capital,114.90,158.88,158.88,158.88,,UREKA,Eureka Design PCL,Industrials,Specialty Industrial Machinery,699.094,-,1.1,THB
3226,Revenue,235.60,251.26,379.54,276.01,,UREKA,Eureka Design PCL,Industrials,Specialty Industrial Machinery,699.094,-,1.1,THB
3227,Net Profit,-78.37,-46.53,18.46,-17.20,,UREKA,Eureka Design PCL,Industrials,Specialty Industrial Machinery,699.094,-,1.1,THB
3228,EPS (Baht),-0.18,-0.09,0.03,-0.03,,UREKA,Eureka Design PCL,Industrials,Specialty Industrial Machinery,699.094,-,1.1,THB
3229,ROA(%),-19.05,-12.06,0.98,1.28,,UREKA,Eureka Design PCL,Industrials,Specialty Industrial Machinery,699.094,-,1.1,THB
3230,ROE(%),-40.89,-25.04,8.48,-7.75,,UREKA,Eureka Design PCL,Industrials,Specialty Industrial Machinery,699.094,-,1.1,THB
3231,Net Profit Margin(%),-33.26,-18.52,4.86,-6.23,,UREKA,Eureka Design PCL,Industrials,Specialty Industrial Machinery,699.094,-,1.1,THB
3232,Statistics as of,30/12/2016,29/12/2017,28/12/2018,30/12/2019,12/05/2020,UREKA,Eureka Design PCL,Industrials,Specialty Industrial Machinery,699.094,-,1.1,THB
3233,Last Price(Baht),1.29,0.66,2.10,1.13,1.11,UREKA,Eureka Design PCL,Industrials,Specialty Industrial Machinery,699.094,-,1.1,THB
3234,Market Cap.,592.86,419.46,1334.63,718.16,705.45,UREKA,Eureka Design PCL,Industrials,Specialty Industrial Machinery,699.094,-,1.1,THB
3235,F/S Period (As of date),30/09/2016,30/09/2017,30/09/2018,30/09/2019,31/12/2019,UREKA,Eureka Design PCL,Industrials,Specialty Industrial Machinery,699.094,-,1.1,THB
3236,P/E,,,68.93,214.56,,UREKA,Eureka Design PCL,Industrials,Specialty Industrial Machinery,699.094,-,1.1,THB
3237,P/BV,3.23,2.05,6.01,3.20,4.54,UREKA,Eureka Design PCL,Industrials,Specialty Industrial Machinery,699.094,-,1.1,THB
3238,Book Value per share (Baht),0.43,0.32,0.35,0.35,0.30,UREKA,Eureka Design PCL,Industrials,Specialty Industrial Machinery,699.094,-,1.1,THB
3239,Dvd. Yield(%),,,,,,UREKA,Eureka Design PCL,Industrials,Specialty Industrial Machinery,699.094,-,1.1,THB
